device_id,总交易次数,总金额,欺诈次数,可疑次数,唯一商户,唯一地区,唯一设备,欺诈率,风险等级,平均间隔小时,最小间隔分钟,最大交易间隔,间隔变异系数,金额波动率
DEV00000238,9,3459.69,2,0,8,7,1,0.2222222222222222,极高,363.20180555555555,535.5333333333334,1504.3308333333334,1.3691200122136227,1.1933095378176959
DEV00000121,6,2288.01,1,0,6,5,1,0.16666666666666666,高,517.0801666666666,11015.783333333333,802.5538888888889,0.46939899115563677,1.2064270597209619
DEV00000007,4,2552.25,1,0,4,3,1,0.25,极高,449.1846296296296,23837.666666666664,499.38972222222225,0.11369154402052643,1.6678993562222457
DEV00000071,11,3784.26,1,0,11,6,1,0.09090909090909091,高,276.0156944444444,301.8,770.5683333333334,0.8893832176534566,0.5034476122750818
DEV00000150,7,3761.46,1,0,4,5,1,0.14285714285714285,高,450.88564814814816,3717.8166666666666,1570.9725,1.285723464306591,0.5817033091806674
DEV00000141,8,4422.110000000001,1,0,8,6,1,0.125,高,496.36003968253965,1193.55,916.9272222222222,0.6884995668156202,2.0954790821504985
DEV00000142,10,3772.44,1,0,10,6,1,0.1,高,212.64691358024692,91.13333333333334,505.92944444444447,0.9181770722342221,1.1472398256778094
DEV00000104,6,4114.05,1,0,6,5,1,0.16666666666666666,高,703.3140555555556,3489.0666666666666,1776.4952777777778,1.1607888050866235,1.226093758161109
DEV00000117,8,5726.49,1,0,7,7,1,0.125,高,491.5700396825397,5034.5,1385.8172222222222,1.1250902093334758,2.3650339379192076
DEV00000077,8,8075.96,1,0,8,5,1,0.125,高,331.97666666666663,3377.383333333333,672.7988888888889,0.8039396666962307,2.274903525765547
DEV00000106,5,1515.26,1,0,5,4,1,0.2,高,720.7590277777778,1146.6333333333334,1426.6730555555555,0.8878225773818434,0.9930890004634363
DEV00000107,10,3110.29,1,0,9,8,1,0.1,高,299.09527777777777,582.6999999999999,1297.7016666666666,1.3684298238704444,1.9830716273108469
DEV00000080,6,5499.43,1,0,5,6,1,0.16666666666666666,高,658.7712222222223,13378.516666666668,1514.6091666666666,0.7879563489771627,1.4524887837201865
DEV00000108,12,6620.94,1,0,11,7,1,0.08333333333333333,高,135.3131313131313,364.56666666666666,357.97527777777776,0.917488634879862,1.088088431258544
DEV00000061,8,6617.379999999999,1,1,7,7,1,0.125,高,480.989126984127,1586.35,1699.0144444444445,1.2147362077323665,1.5975566775745789
DEV00000186,10,7007.43,1,0,9,8,1,0.1,高,294.75972222222225,296.98333333333335,598.3513888888889,0.8302363000451004,2.124426290037603
DEV00000179,15,8857.56,1,0,13,9,1,0.06666666666666667,高,195.5784126984127,1055.5666666666666,577.3547222222222,1.0499544355374202,1.6370869580061973
