mcc,总交易次数,总金额,欺诈次数,可疑次数,唯一商户,唯一地区,唯一设备,欺诈率,风险等级,平均间隔小时,最小间隔分钟,最大交易间隔,间隔变异系数,金额波动率
5311,340,168837.16,7,6,60,10,233,0.020588235294117647,中,10.652270567027204,0.8833333333333333,59.510555555555555,1.0278183358176334,2.5240090600411094
4511,314,181959.85,6,6,60,10,205,0.01910828025477707,中,11.538946574369897,7.666666666666666,86.01972222222223,1.0944719286570712,2.8592282516909333
5814,269,154494.75,6,8,60,10,187,0.022304832713754646,中,13.508446310116085,2.2833333333333337,71.06166666666667,1.070509085579832,2.9965227400976113
5999,264,131252.6,5,5,60,10,180,0.01893939393939394,中,13.776648711449091,4.15,71.54555555555555,0.9327701527132433,4.317405670920942
5812,302,143391.73,5,5,59,10,210,0.016556291390728478,中,11.935904392764858,0.7166666666666667,74.07722222222222,1.0946169599370577,4.50258947357105
5411,299,145852.08,5,6,58,10,208,0.016722408026755852,中,12.028873042505593,3.8666666666666667,62.549166666666665,0.9727017766722287,2.9863534838226307
5691,288,159056.83,4,11,60,10,206,0.013888888888888888,中,12.547943283004258,1.2166666666666666,88.68472222222222,1.0008331793799008,3.6472284035034366
5211,302,151863.84,4,6,59,10,207,0.013245033112582781,中,11.992927279438907,2.416666666666667,59.23222222222222,1.0181568764902582,2.9233300977558674
4111,324,167349.3,3,7,60,10,211,0.009259259259259259,低,11.204188166494667,0.38333333333333336,119.96861111111112,1.1561358832510917,2.98727413337269
5541,298,156102.62,3,4,58,10,197,0.010067114093959731,中,12.132506546950992,0.65,75.96,0.9236788364937374,2.2362958290266715
